"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:45","30,89 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,"259 476 zl","https://www.otodom.pl/pl/oferta/kawalerka-bezposrednio-od-dewelopera-ID4e2At","lublin",NA
"1:46","30,85 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"295 000 zl","https://www.otodom.pl/pl/oferta/koncertowa-dolina-budynek-21-mieszkanie-m1-ID4gQjr","lublin",NA
"1:47","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowoczesne-mieszkanie-m05-ID4h06l","lublin",NA
"1:48","25,01 m²","zapytaj","1 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1939","kamienica","plastikowe","nie",NA,NA,NA,"piwnica",NA,"250 000 zl","https://www.otodom.pl/pl/oferta/lublin-srodmiescie-studio-25-m2-idealne-pod-najem-ID4hfKX","lublin",NA
"1:49","30 m²","pelna wlasnosc","1 ","zapytaj","parter/4","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1979",NA,NA,"nie",NA,NA,"lodówka, piekarnik, pralka","piwnica","inne","309 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-30m2-wrotkow-ID4hfKt","lublin",NA
"1:50","33 m²","zapytaj","2 ","zapytaj","parter/4","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie","internet","domofon / wideofon","meble, kuchenka","piwnica, oddzielna kuchnia","inne","298 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-33-m2-kalina-parter-ID4hfKh","lublin","2022-03-11"
"1:51","38 m²","pelna wlasnosc","2 ","do zamieszkania","7/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"329 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-po-remoncie-ID4hfJc","lublin",NA
"1:52","29,2 m²","pelna wlasnosc","1 ","do zamieszkania","6/6","balkon","192 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2021",NA,"plastikowe","nie",NA,NA,"meble, pralka","piwnica",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-nowym-budownictwie-ID4h9ty","lublin","2022-06-10"
"1:53","37,36 m²","zapytaj","2 ","do zamieszkania","3/10","balkon","230 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1969","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta","375 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-po-remoncie-kalinowszczyzna-ID4hfgR","lublin",NA
"1:54","32,4 m²","spóldzielcze wl. z KW","2 ","zapytaj","9/10","zapytaj","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1973",NA,NA,"nie",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","359 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-32-4-m2-lsm-os-krasinskiego-ID4hfei","lublin",NA
"1:55","36 m²","pelna wlasnosc","1 ","do zamieszkania","6/8","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1982","blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe",NA,"299 000 zl","https://www.otodom.pl/pl/oferta/czechow-os-paderewskiego-przytulna-kawalerka-ID4g8DD","lublin",NA
"1:56","32 m²","pelna wlasnosc","1 ","zapytaj","2/2","balkon","160 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1890","kamienica","drewniane","nie",NA,"domofon / wideofon",NA,"piwnica","cegla","155 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-srodmiesciu-2-pietro-do-remontu-ID4heZt","lublin",NA
"1:57","23,05 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","zapytaj","350 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1907","kamienica","plastikowe","nie","telewizja kablowa",NA,NA,"piwnica","cegla","229 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-centrum-na-wynajem-ID4gYRw","lublin",NA
"1:58","30,5 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","balkon, ogródek","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok",NA,"tak",NA,NA,"meble","piwnica, pom. uzytkowe","cegla","339 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-ogrodkiem-weglin-ID4heCG","lublin",NA
"1:59","32,95 m²","pelna wlasnosc","2 ","zapytaj","9/10","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965",NA,"plastikowe","tak",NA,NA,NA,"oddzielna kuchnia",NA,"255 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-tatary-ID4hesN","lublin",NA
"1:60","29 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","balkon","190 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon","kuchenka","piwnica, oddzielna kuchnia","cegla","290 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-scisle-centrum-narutowicza-29m2-ID4e7Ms","lublin",NA
"1:61","36 m²","pelna wlasnosc","1 ","do remontu","1","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1910","kamienica","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla","230 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-m-lublin-ID4hely","lublin",NA
