"","X","Powierzchnia","Forma.wlasnosci","Liczba.pokoi","Stan.wykonczenia","Pietro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsluga.zdalna","Ogrzewanie","Rynek","Typ.ogloszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje.dodatkowe","Material.budynku","cena","urlo","miasto","Dostepne.od","SQRM"
"1:48","1:50",33,"zapytaj","2","zapytaj","parter/4","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1980,NA,NA,"nie","internet","domofon / wideofon","meble, kuchenka","piwnica, oddzielna kuchnia","inne",298000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-33-m2-kalina-parter-ID4hfKh","lublin","2022-03-11",9030
"1:49","1:51",38,"pelna wlasnosc","2","do zamieszkania","7/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",1980,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,329000,"https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-po-remoncie-ID4hfJc","lublin",NA,8658
"1:50","1:52",29,"pelna wlasnosc","1","do zamieszkania","6/6","balkon","192 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",2021,NA,"plastikowe","nie",NA,NA,"meble, pralka","piwnica",NA,339000,"https://www.otodom.pl/pl/oferta/kawalerka-w-nowym-budownictwie-ID4h9ty","lublin","2022-06-10",11690
"1:51","1:53",37,"zapytaj","2","do zamieszkania","3/10","balkon","230 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1969,"blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta",375000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-po-remoncie-kalinowszczyzna-ID4hfgR","lublin",NA,10135
"1:52","1:54",32,"spóldzielcze wl. z KW","2","zapytaj","9/10","zapytaj","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1973,NA,NA,"nie",NA,"domofon / wideofon",NA,"piwnica","wielka plyta",359000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-32-4-m2-lsm-os-krasinskiego-ID4hfei","lublin",NA,11219
"1:53","1:55",36,"pelna wlasnosc","1","do zamieszkania","6/8","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1982,"blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe",NA,299000,"https://www.otodom.pl/pl/oferta/czechow-os-paderewskiego-przytulna-kawalerka-ID4g8DD","lublin",NA,8306
"1:54","1:56",32,"pelna wlasnosc","1","zapytaj","2/2","balkon","160 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",1890,"kamienica","drewniane","nie",NA,"domofon / wideofon",NA,"piwnica","cegla",155000,"https://www.otodom.pl/pl/oferta/mieszkanie-w-srodmiesciu-2-pietro-do-remontu-ID4heZt","lublin",NA,4844
"1:55","1:57",23,"pelna wlasnosc","1","do zamieszkania","1/2","zapytaj","350 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",1907,"kamienica","plastikowe","nie","telewizja kablowa",NA,NA,"piwnica","cegla",229000,"https://www.otodom.pl/pl/oferta/kawalerka-blisko-centrum-na-wynajem-ID4gYRw","lublin",NA,9957
"1:56","1:58",30,"pelna wlasnosc","1","do zamieszkania","parter/4","balkon, ogródek","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",2015,"blok",NA,"tak",NA,NA,"meble","piwnica, pom. uzytkowe","cegla",339000,"https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-ogrodkiem-weglin-ID4heCG","lublin",NA,11300
"1:57","1:59",33,"pelna wlasnosc","2","zapytaj","9/10","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1965,NA,"plastikowe","tak",NA,NA,NA,"oddzielna kuchnia",NA,255000,"https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-tatary-ID4hesN","lublin",NA,7727
"1:58","1:60",29,"pelna wlasnosc","2","do zamieszkania","2/3","balkon","190 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon","kuchenka","piwnica, oddzielna kuchnia","cegla",290000,"https://www.otodom.pl/pl/oferta/mieszkanie-scisle-centrum-narutowicza-29m2-ID4e7Ms","lublin",NA,10000
"1:59","1:61",36,"pelna wlasnosc","1","do remontu","1","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1910,"kamienica","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla",230000,"https://www.otodom.pl/pl/oferta/mieszkanie-36-m-lublin-ID4hely","lublin",NA,6389
"1:60","1:62",37,"pelna wlasnosc","2","do remontu","2/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,"meble","piwnica, oddzielna kuchnia",NA,270000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-melgiewska-ID4gWZN","lublin",NA,7297
"1:61","1:63",35,"spóldzielcze wl. z KW","1","do wykonczenia","parter/4","balkon","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1980,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble",NA,"wielka plyta",299000,"https://www.otodom.pl/pl/oferta/czuby-duza-kawalerka-35m2-parter-balkon-ID4he65","lublin","2022-06-15",8543
"1:62","1:65",35,"spóldzielcze wl. z KW","2","do zamieszkania","4/4","zapytaj","240 zl","zapytaj","tak","miejskie","wtórny","prywatny",1970,"blok","plastikowe","nie",NA,"domofon / wideofon","zmywarka, lodówka, piekarnik, kuchenka","piwnica, oddzielna kuchnia","wielka plyta",339000,"https://www.otodom.pl/pl/oferta/2-pokoje-przy-ul-przyjazni-ID4hdOD","lublin",NA,9686
"1:63","1:66",30,"pelna wlasnosc","2","do zamieszkania","parter/3","zapytaj","zapytaj","garaz/miejsce parkingowe","Film","zapytaj","wtórny","biuro nieruchomosci ",1910,"kamienica",NA,"nie",NA,NA,NA,NA,"cegla",235000,"https://www.otodom.pl/pl/oferta/ostatnie-mieszkanie-30m2-2-pokoje-parter-ID4haVm","lublin",NA,7833
"1:64","1:67",33,"pelna wlasnosc","1","do zamieszkania","2","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","cegla",312000,"https://www.otodom.pl/pl/oferta/kawalerka-al-raclawickie-ID46v2a","lublin",NA,9455
